game_start_time_utc,playerDeck,n,freq,label
2022-05-02,Pantheon/Yuumi (DE/MT),2045,0.0459055400915866,Master
2022-05-02,SunDisc,2682,0.0602047229954207,Master
2022-05-02,Aphelios/Fizz (BC/MT),779,0.0174867558588489,Master
2022-05-02,Tri-Beam (NX/PZ),1977,0.0443790967046781,Master
2022-05-02,"Pirates (BW,NX)",2132,0.0478584897189548,Master
2022-05-02,Taliyah/Ziggs,1813,0.0406976744186047,Master
2022-05-02,Trundle/Tryndamere (FR/SI),2909,0.0653003501840711,Master
2022-05-02,Heimerdinger/Jayce (PZ/SI),697,0.0156460447158122,Master
2022-05-02,Pyke/Rek'Sai,354,0.00794648469067074,Master
2022-05-02,Ekko/Zilean,482,0.0108197898895573,Master
2022-05-02,Miss Fortune/Quinn,506,0.0113585346143486,Master
2022-05-03,Viego (SI/SH),960,0.0207066131745826,Master
2022-05-03,Pantheon/Yuumi (DE/MT),2082,0.0449074673223761,Master
2022-05-03,SunDisc,2842,0.061300202752254,Master
2022-05-03,Aphelios/Fizz (BC/MT),846,0.0182477028601009,Master
2022-05-03,Tri-Beam (NX/PZ),1692,0.0364954057202019,Master
2022-05-03,"Pirates (BW,NX)",1906,0.0411112549070359,Master
2022-05-03,Taliyah/Ziggs,2017,0.0435054570553471,Master
2022-05-03,Trundle/Tryndamere (FR/SI),3082,0.0664768560458997,Master
2022-05-03,Heimerdinger/Jayce (PZ/SI),1849,0.0398817997497951,Master
2022-05-03,Pyke/Rek'Sai,498,0.0107415555843147,Master
2022-05-03,Ekko/Zilean,389,0.00839049221345067,Master
2022-05-03,Miss Fortune/Quinn,661,0.0142573659462491,Master
2022-05-04,Viego (SI/SH),1360,0.0307358524679082,Master
2022-05-04,Pantheon/Yuumi (DE/MT),2127,0.0480699692641475,Master
2022-05-04,SunDisc,2551,0.0576523232688483,Master
2022-05-04,Aphelios/Fizz (BC/MT),858,0.0193907069246068,Master
2022-05-04,Tri-Beam (NX/PZ),1373,0.0310296510576749,Master
2022-05-04,"Pirates (BW,NX)",2311,0.0522283493039233,Master
2022-05-04,Taliyah/Ziggs,2334,0.0527481468088953,Master
2022-05-04,Trundle/Tryndamere (FR/SI),2671,0.0603643102513108,Master
2022-05-04,Heimerdinger/Jayce (PZ/SI),1428,0.0322726450913036,Master
2022-05-04,Pyke/Rek'Sai,445,0.0100569517266317,Master
2022-05-04,Ekko/Zilean,358,0.00809076116434641,Master
2022-05-04,Miss Fortune/Quinn,578,0.013062737298861,Master
2022-05-05,Viego (SI/SH),2571,0.054945289793127,Master
2022-05-05,Pantheon/Yuumi (DE/MT),2072,0.0442810736878099,Master
2022-05-05,SunDisc,2366,0.0505641990083775,Master
2022-05-05,Aphelios/Fizz (BC/MT),1022,0.0218413404000684,Master
2022-05-05,Tri-Beam (NX/PZ),1658,0.0354334074200718,Master
2022-05-05,"Pirates (BW,NX)",2620,0.055992477346555,Master
2022-05-05,Taliyah/Ziggs,2478,0.0529577705590699,Master
2022-05-05,Trundle/Tryndamere (FR/SI),2936,0.0627457685074372,Master
2022-05-05,Heimerdinger/Jayce (PZ/SI),1309,0.0279748674987177,Master
2022-05-05,Pyke/Rek'Sai,479,0.0102367926141221,Master
2022-05-05,Ekko/Zilean,390,0.00833475807830399,Master
2022-05-05,Miss Fortune/Quinn,772,0.0164985467601299,Master
2022-05-06,Viego (SI/SH),2627,0.0549972783988611,Master
2022-05-06,Pantheon/Yuumi (DE/MT),2406,0.0503705564627559,Master
2022-05-06,SunDisc,2549,0.0533643177155299,Master
2022-05-06,Aphelios/Fizz (BC/MT),1047,0.0219193568647155,Master
2022-05-06,Tri-Beam (NX/PZ),1671,0.0349830423313654,Master
2022-05-06,"Pirates (BW,NX)",2863,0.0599380312356069,Master
2022-05-06,Taliyah/Ziggs,2424,0.0507473935435247,Master
2022-05-06,Trundle/Tryndamere (FR/SI),2614,0.0547251182849726,Master
2022-05-06,Heimerdinger/Jayce (PZ/SI),1061,0.0222124523719801,Master
2022-05-06,Pyke/Rek'Sai,447,0.00935812083909057,Master
2022-05-06,Ekko/Zilean,434,0.00908596072520203,Master
2022-05-06,Miss Fortune/Quinn,794,0.016622702340577,Master
2022-05-07,Viego (SI/SH),2479,0.0539898945901211,Master
2022-05-07,Pantheon/Yuumi (DE/MT),2340,0.0509626274065685,Master
2022-05-07,SunDisc,2071,0.0451041031448732,Master
2022-05-07,Aphelios/Fizz (BC/MT),1039,0.0226282777245405,Master
2022-05-07,Tri-Beam (NX/PZ),1493,0.0325158985974388,Master
2022-05-07,"Pirates (BW,NX)",3093,0.0673621395591951,Master
2022-05-07,Taliyah/Ziggs,2403,0.0523346981444377,Master
2022-05-07,Trundle/Tryndamere (FR/SI),2326,0.0506577227981532,Master
2022-05-07,Heimerdinger/Jayce (PZ/SI),955,0.0207988500740483,Master
2022-05-07,Pyke/Rek'Sai,453,0.00986584197229724,Master
2022-05-07,Ekko/Zilean,444,0.00966983186688736,Master
2022-05-07,Miss Fortune/Quinn,753,0.0163995121526265,Master
2022-05-08,Viego (SI/SH),2853,0.0632117693977932,Master
2022-05-08,Pantheon/Yuumi (DE/MT),2234,0.0494970532193025,Master
2022-05-08,SunDisc,2007,0.0444675854123277,Master
2022-05-08,Aphelios/Fizz (BC/MT),1180,0.0261443700979306,Master
2022-05-08,Tri-Beam (NX/PZ),1543,0.0341870873399211,Master
2022-05-08,"Pirates (BW,NX)",2875,0.0636992068063987,Master
2022-05-08,Taliyah/Ziggs,2408,0.053352239996455,Master
2022-05-08,Trundle/Tryndamere (FR/SI),2440,0.0540612398635175,Master
2022-05-08,Heimerdinger/Jayce (PZ/SI),1106,0.0245048079053485,Master
2022-05-08,Pyke/Rek'Sai,475,0.0105242167767094,Master
2022-05-08,Ekko/Zilean,414,0.00917268578012142,Master
2022-05-08,Miss Fortune/Quinn,1176,0.0260557451145478,Master
2022-05-09,Viego (SI/SH),3296,0.0683307073555021,Master
2022-05-09,Pantheon/Yuumi (DE/MT),2359,0.0489053818724604,Master
2022-05-09,SunDisc,2356,0.0488431876606684,Master
2022-05-09,Aphelios/Fizz (BC/MT),1556,0.032258064516129,Master
2022-05-09,Tri-Beam (NX/PZ),1671,0.0346421759681566,Master
2022-05-09,"Pirates (BW,NX)",3437,0.0712538353097272,Master
2022-05-09,Taliyah/Ziggs,2547,0.0528028858114272,Master
2022-05-09,Trundle/Tryndamere (FR/SI),2529,0.052429720540675,Master
2022-05-09,Heimerdinger/Jayce (PZ/SI),1225,0.0253959698150759,Master
2022-05-09,Pyke/Rek'Sai,528,0.010946181275396,Master
2022-05-09,Ekko/Zilean,512,0.0106144788125052,Master
2022-05-09,Miss Fortune/Quinn,1401,0.0290446969068745,Master
2022-05-10,Viego (SI/SH),3929,0.0762853370611991,Master
2022-05-10,Pantheon/Yuumi (DE/MT),2324,0.0451227089158124,Master
2022-05-10,SunDisc,2450,0.0475691208449829,Master
2022-05-10,Aphelios/Fizz (BC/MT),2079,0.0403657968313141,Master
2022-05-10,Tri-Beam (NX/PZ),2252,0.0437247592420006,Master
2022-05-10,"Pirates (BW,NX)",3885,0.0754310344827586,Master
2022-05-10,Taliyah/Ziggs,2901,0.0563257222739981,Master
2022-05-10,Trundle/Tryndamere (FR/SI),2425,0.0470837216526872,Master
2022-05-10,Heimerdinger/Jayce (PZ/SI),1095,0.0212604846225536,Master
2022-05-10,Pyke/Rek'Sai,783,0.0152027027027027,Master
2022-05-10,Ekko/Zilean,479,0.00930024852438645,Master
2022-05-10,Miss Fortune/Quinn,1386,0.026910531220876,Master
2022-05-11,Viego (SI/SH),3928,0.0790787566435819,Master
2022-05-11,Pantheon/Yuumi (DE/MT),2581,0.0519608632630053,Master
2022-05-11,SunDisc,2279,0.0458809792237075,Master
2022-05-11,Aphelios/Fizz (BC/MT),2645,0.0532493155097439,Master
2022-05-11,Tri-Beam (NX/PZ),2119,0.042659848606861,Master
2022-05-11,"Pirates (BW,NX)",3757,0.0756361732968272,Master
2022-05-11,Taliyah/Ziggs,2517,0.0506724110162667,Master
2022-05-11,Trundle/Tryndamere (FR/SI),2229,0.044874375905943,Master
2022-05-11,Heimerdinger/Jayce (PZ/SI),1293,0.0260307617973909,Master
2022-05-11,Pyke/Rek'Sai,676,0.0136092768561765,Master
2022-05-11,Ekko/Zilean,414,0.00833467547109035,Master
2022-05-11,Miss Fortune/Quinn,1374,0.0276614591721694,Master
2022-05-12,Viego (SI/SH),3269,0.0746551566639262,Master
2022-05-12,Pantheon/Yuumi (DE/MT),2157,0.0492600712523979,Master
2022-05-12,SunDisc,1733,0.0395770530739015,Master
2022-05-12,Aphelios/Fizz (BC/MT),2777,0.0634192016077464,Master
2022-05-12,Tri-Beam (NX/PZ),1616,0.0369050881520051,Master
2022-05-12,"Pirates (BW,NX)",2622,0.0598794190189093,Master
2022-05-12,Taliyah/Ziggs,1978,0.0451721932949667,Master
2022-05-12,Trundle/Tryndamere (FR/SI),1916,0.0437562802594318,Master
2022-05-12,Heimerdinger/Jayce (PZ/SI),924,0.0211016716908742,Master
2022-05-12,Pyke/Rek'Sai,603,0.0137708961359277,Master
2022-05-12,Ekko/Zilean,548,0.0125148442495661,Master
2022-05-12,Miss Fortune/Quinn,1055,0.0240933589111172,Master
2022-05-13,Viego (SI/SH),2163,0.0624314495179819,Master
2022-05-13,Pantheon/Yuumi (DE/MT),1508,0.0435259481614039,Master
2022-05-13,SunDisc,1154,0.0333083184205969,Master
2022-05-13,Aphelios/Fizz (BC/MT),2044,0.0589967095768631,Master
2022-05-13,Tri-Beam (NX/PZ),1181,0.0340876291635398,Master
2022-05-13,"Pirates (BW,NX)",1264,0.036483288114068,Master
2022-05-13,Taliyah/Ziggs,1711,0.0493852104139006,Master
2022-05-13,Trundle/Tryndamere (FR/SI),1254,0.0361946545055706,Master
2022-05-13,Heimerdinger/Jayce (PZ/SI),780,0.0225134214627951,Master
2022-05-13,Pyke/Rek'Sai,545,0.0157305316631069,Master
2022-05-13,Ekko/Zilean,424,0.0122380650002886,Master
2022-05-13,Miss Fortune/Quinn,818,0.0236102291750851,Master
2022-05-14,Viego (SI/SH),2101,0.0717211715709702,Master
2022-05-14,Pantheon/Yuumi (DE/MT),1207,0.041202976718782,Master
2022-05-14,SunDisc,1155,0.0394278691882297,Master
2022-05-14,Aphelios/Fizz (BC/MT),1270,0.0433535877654127,Master
2022-05-14,Tri-Beam (NX/PZ),984,0.0335904963473749,Master
2022-05-14,"Pirates (BW,NX)",930,0.0317471154502629,Master
2022-05-14,Taliyah/Ziggs,1283,0.0437973646480508,Master
2022-05-14,Trundle/Tryndamere (FR/SI),873,0.0298013245033113,Master
2022-05-14,Heimerdinger/Jayce (PZ/SI),736,0.0251245988939715,Master
2022-05-14,Pyke/Rek'Sai,446,0.0152249607428142,Master
2022-05-14,Ekko/Zilean,425,0.0145080903939373,Master
2022-05-14,Miss Fortune/Quinn,584,0.0199358230354339,Master
2022-05-15,Viego (SI/SH),2064,0.0687541638907395,Master
2022-05-15,Pantheon/Yuumi (DE/MT),1330,0.0443037974683544,Master
2022-05-15,SunDisc,1084,0.0361092604930047,Master
2022-05-15,Aphelios/Fizz (BC/MT),1148,0.0382411725516322,Master
2022-05-15,Tri-Beam (NX/PZ),946,0.0315123251165889,Master
2022-05-15,"Pirates (BW,NX)",1003,0.0334110592938041,Master
2022-05-15,Taliyah/Ziggs,1107,0.036875416389074,Master
2022-05-15,Trundle/Tryndamere (FR/SI),963,0.0320786142571619,Master
2022-05-15,Heimerdinger/Jayce (PZ/SI),740,0.0246502331778814,Master
2022-05-15,Pyke/Rek'Sai,615,0.0204863424383744,Master
2022-05-15,Ekko/Zilean,719,0.0239506995336442,Master
2022-05-15,Miss Fortune/Quinn,494,0.0164556962025316,Master
2022-05-16,Viego (SI/SH),2029,0.0679959785522788,Master
2022-05-16,Pantheon/Yuumi (DE/MT),1389,0.0465482573726542,Master
2022-05-16,SunDisc,1244,0.0416890080428954,Master
2022-05-16,Aphelios/Fizz (BC/MT),1183,0.0396447721179625,Master
2022-05-16,Tri-Beam (NX/PZ),897,0.0300603217158177,Master
2022-05-16,"Pirates (BW,NX)",1034,0.0346514745308311,Master
2022-05-16,Taliyah/Ziggs,889,0.0297922252010724,Master
2022-05-16,Trundle/Tryndamere (FR/SI),874,0.0292895442359249,Master
2022-05-16,Heimerdinger/Jayce (PZ/SI),682,0.0228552278820375,Master
2022-05-16,Pyke/Rek'Sai,709,0.023760053619303,Master
2022-05-16,Ekko/Zilean,648,0.02171581769437,Master
2022-05-16,Miss Fortune/Quinn,624,0.0209115281501341,Master
2022-05-17,Viego (SI/SH),1758,0.0617015302541064,Master
2022-05-17,Pantheon/Yuumi (DE/MT),1334,0.0468201600449249,Master
2022-05-17,SunDisc,1098,0.0385371332303805,Master
2022-05-17,Aphelios/Fizz (BC/MT),1008,0.0353783518180542,Master
2022-05-17,Tri-Beam (NX/PZ),964,0.0338340586831391,Master
2022-05-17,"Pirates (BW,NX)",963,0.0337989611118911,Master
2022-05-17,Taliyah/Ziggs,834,0.0292713744208901,Master
2022-05-17,Trundle/Tryndamere (FR/SI),686,0.0240769338761758,Master
2022-05-17,Heimerdinger/Jayce (PZ/SI),597,0.0209532500350976,Master
2022-05-17,Pyke/Rek'Sai,516,0.0181103467640039,Master
2022-05-17,Ekko/Zilean,681,0.0239014460199354,Master
2022-05-17,Miss Fortune/Quinn,551,0.0193387617576864,Master
2022-05-18,Viego (SI/SH),1808,0.0600744284954811,Master
2022-05-18,Pantheon/Yuumi (DE/MT),1457,0.0484117490696438,Master
2022-05-18,SunDisc,1144,0.0380116959064327,Master
2022-05-18,Aphelios/Fizz (BC/MT),925,0.0307349813928761,Master
2022-05-18,Tri-Beam (NX/PZ),1031,0.0342570441254652,Master
2022-05-18,"Pirates (BW,NX)",924,0.0307017543859649,Master
2022-05-18,Taliyah/Ziggs,875,0.0290736310473153,Master
2022-05-18,Trundle/Tryndamere (FR/SI),784,0.0260499734183945,Master
2022-05-18,Heimerdinger/Jayce (PZ/SI),574,0.0190723019670388,Master
2022-05-18,Pyke/Rek'Sai,799,0.0265483785220627,Master
2022-05-18,Ekko/Zilean,625,0.0207668793195109,Master
2022-05-18,Miss Fortune/Quinn,660,0.0219298245614035,Master
2022-05-19,Viego (SI/SH),1801,0.0621377311620204,Master
2022-05-19,Pantheon/Yuumi (DE/MT),1357,0.0468189345845984,Master
2022-05-19,SunDisc,1145,0.0395045542368203,Master
2022-05-19,Aphelios/Fizz (BC/MT),1005,0.0346743030637593,Master
2022-05-19,Tri-Beam (NX/PZ),894,0.0308446039194038,Master
2022-05-19,"Pirates (BW,NX)",1006,0.0347088048578526,Master
2022-05-19,Taliyah/Ziggs,842,0.0290505106265526,Master
2022-05-19,Trundle/Tryndamere (FR/SI),749,0.0258418437758763,Master
2022-05-19,Heimerdinger/Jayce (PZ/SI),716,0.0247032845707977,Master
2022-05-19,Pyke/Rek'Sai,565,0.0194935136627105,Master
2022-05-19,Ekko/Zilean,503,0.0173544024289263,Master
2022-05-19,Miss Fortune/Quinn,552,0.0190449903394977,Master
2022-05-20,Viego (SI/SH),1613,0.0602585176329946,Master
2022-05-20,Pantheon/Yuumi (DE/MT),1231,0.0459877465630604,Master
2022-05-20,SunDisc,1100,0.0410938433950986,Master
2022-05-20,Aphelios/Fizz (BC/MT),913,0.0341078900179319,Master
2022-05-20,Tri-Beam (NX/PZ),1003,0.0374701135684399,Master
2022-05-20,"Pirates (BW,NX)",884,0.0330245068738793,Master
2022-05-20,Taliyah/Ziggs,745,0.0278317393903168,Master
2022-05-20,Trundle/Tryndamere (FR/SI),534,0.0199491930663479,Master
2022-05-20,Heimerdinger/Jayce (PZ/SI),620,0.0231619844590556,Master
2022-05-20,Pyke/Rek'Sai,440,0.0164375373580395,Master
2022-05-20,Ekko/Zilean,572,0.0213687985654513,Master
2022-05-20,Miss Fortune/Quinn,505,0.0188658099222953,Master
2022-05-21,Viego (SI/SH),1935,0.0706565398378734,Master
2022-05-21,Pantheon/Yuumi (DE/MT),1333,0.0486745052216461,Master
2022-05-21,SunDisc,1136,0.0414810487110202,Master
2022-05-21,Aphelios/Fizz (BC/MT),1013,0.0369897027678376,Master
2022-05-21,Tri-Beam (NX/PZ),987,0.0360403125684656,Master
2022-05-21,"Pirates (BW,NX)",851,0.031074271525597,Master
2022-05-21,Taliyah/Ziggs,760,0.0277514058277952,Master
2022-05-21,Trundle/Tryndamere (FR/SI),632,0.0230774848462718,Master
2022-05-21,Heimerdinger/Jayce (PZ/SI),653,0.023844300007303,Master
2022-05-21,Pyke/Rek'Sai,643,0.0234791499306215,Master
2022-05-21,Ekko/Zilean,490,0.0178923537573943,Master
2022-05-21,Miss Fortune/Quinn,568,0.0207405243555101,Master
2022-05-22,Viego (SI/SH),491,0.0577647058823529,Master
2022-05-22,Pantheon/Yuumi (DE/MT),307,0.0361176470588235,Master
2022-05-22,SunDisc,360,0.0423529411764706,Master
2022-05-22,Aphelios/Fizz (BC/MT),280,0.0329411764705882,Master
2022-05-22,Tri-Beam (NX/PZ),260,0.0305882352941177,Master
2022-05-22,"Pirates (BW,NX)",264,0.0310588235294118,Master
2022-05-22,Taliyah/Ziggs,224,0.0263529411764706,Master
2022-05-22,Trundle/Tryndamere (FR/SI),154,0.0181176470588235,Master
2022-05-22,Heimerdinger/Jayce (PZ/SI),150,0.0176470588235294,Master
2022-05-22,Pyke/Rek'Sai,184,0.0216470588235294,Master
2022-05-22,Ekko/Zilean,207,0.0243529411764706,Master
2022-05-22,Miss Fortune/Quinn,238,0.028,Master
2022-04-27,Viego (SI/SH),807,0.0104514725308882,~HighDiamond
2022-04-27,"Pirates (BW,NX)",3920,0.0507679954412412,~HighDiamond
2022-04-27,Pantheon/Yuumi (DE/MT),1517,0.0196466961949905,~HighDiamond
2022-04-27,SunDisc,4791,0.0620483332038231,~HighDiamond
2022-04-27,Trundle/Tryndamere (FR/SI),1491,0.019309969694615,~HighDiamond
2022-04-27,Tri-Beam (NX/PZ),4689,0.0607273292408113,~HighDiamond
2022-04-27,Taliyah/Ziggs,1059,0.0137151293806823,~HighDiamond
2022-04-27,Aphelios/Fizz (BC/MT),87,0.00112673867433367,~HighDiamond
2022-04-27,Miss Fortune/Quinn,1264,0.0163700883259513,~HighDiamond
2022-04-27,Pyke/Rek'Sai,897,0.0116170642629575,~HighDiamond
2022-04-27,Heimerdinger/Jayce (PZ/SI),138,0.00178724065583961,~HighDiamond
2022-04-27,Azir/Irelia,746,0.00966146035693009,~HighDiamond
2022-04-28,Viego (SI/SH),918,0.0129128453271817,~HighDiamond
2022-04-28,"Pirates (BW,NX)",3279,0.0461233331457829,~HighDiamond
2022-04-28,Pantheon/Yuumi (DE/MT),2031,0.028568615315366,~HighDiamond
2022-04-28,SunDisc,4460,0.06273561019524,~HighDiamond
2022-04-28,Trundle/Tryndamere (FR/SI),2067,0.029075001406628,~HighDiamond
2022-04-28,Tri-Beam (NX/PZ),5081,0.0714707702695099,~HighDiamond
2022-04-28,Taliyah/Ziggs,1221,0.0171749282619704,~HighDiamond
2022-04-28,Aphelios/Fizz (BC/MT),94,0.0013222303494064,~HighDiamond
2022-04-28,Miss Fortune/Quinn,856,0.012040735947786,~HighDiamond
2022-04-28,Pyke/Rek'Sai,1042,0.0146570640859731,~HighDiamond
2022-04-28,Heimerdinger/Jayce (PZ/SI),146,0.00205367692567377,~HighDiamond
2022-04-28,Azir/Irelia,793,0.0111545602880774,~HighDiamond
2022-04-29,Viego (SI/SH),951,0.0140435334770667,~HighDiamond
2022-04-29,"Pirates (BW,NX)",3391,0.0500753123246404,~HighDiamond
2022-04-29,Pantheon/Yuumi (DE/MT),2073,0.0306122448979592,~HighDiamond
2022-04-29,SunDisc,4044,0.05971824330311,~HighDiamond
2022-04-29,Trundle/Tryndamere (FR/SI),2386,0.035234354233734,~HighDiamond
2022-04-29,Tri-Beam (NX/PZ),3870,0.0571487639918485,~HighDiamond
2022-04-29,Taliyah/Ziggs,1224,0.0180749579137009,~HighDiamond
2022-04-29,Aphelios/Fizz (BC/MT),259,0.00382468472193508,~HighDiamond
2022-04-29,Miss Fortune/Quinn,706,0.0104255884698308,~HighDiamond
2022-04-29,Pyke/Rek'Sai,951,0.0140435334770667,~HighDiamond
2022-04-29,Heimerdinger/Jayce (PZ/SI),261,0.00385421896689211,~HighDiamond
2022-04-29,Azir/Irelia,858,0.0126701910865649,~HighDiamond
2022-04-30,Viego (SI/SH),760,0.0113361773216789,~HighDiamond
2022-04-30,"Pirates (BW,NX)",3252,0.0485069061185526,~HighDiamond
2022-04-30,Pantheon/Yuumi (DE/MT),1664,0.0248202619253602,~HighDiamond
2022-04-30,SunDisc,3849,0.0574117717251872,~HighDiamond
2022-04-30,Trundle/Tryndamere (FR/SI),2914,0.0434652904149638,~HighDiamond
2022-04-30,Tri-Beam (NX/PZ),3780,0.0563825661525611,~HighDiamond
2022-04-30,Taliyah/Ziggs,1366,0.0203752871334387,~HighDiamond
2022-04-30,Aphelios/Fizz (BC/MT),308,0.00459413501983831,~HighDiamond
2022-04-30,Miss Fortune/Quinn,688,0.0102622236806778,~HighDiamond
2022-04-30,Pyke/Rek'Sai,872,0.0130067718743474,~HighDiamond
2022-04-30,Heimerdinger/Jayce (PZ/SI),354,0.00528027206825572,~HighDiamond
2022-04-30,Azir/Irelia,698,0.0104113839085946,~HighDiamond
2022-05-01,Viego (SI/SH),911,0.0137079057449818,~HighDiamond
2022-05-01,"Pirates (BW,NX)",3712,0.055854825604141,~HighDiamond
2022-05-01,Pantheon/Yuumi (DE/MT),2009,0.0302296187065515,~HighDiamond
2022-05-01,SunDisc,3660,0.0550723765385657,~HighDiamond
2022-05-01,Trundle/Tryndamere (FR/SI),3630,0.0546209636161185,~HighDiamond
2022-05-01,Tri-Beam (NX/PZ),3235,0.0486773601372295,~HighDiamond
2022-05-01,Taliyah/Ziggs,1487,0.0223750338559692,~HighDiamond
2022-05-01,Aphelios/Fizz (BC/MT),919,0.0138282825243011,~HighDiamond
2022-05-01,Miss Fortune/Quinn,698,0.0105028739956062,~HighDiamond
2022-05-01,Pyke/Rek'Sai,997,0.0150019561226639,~HighDiamond
2022-05-01,Heimerdinger/Jayce (PZ/SI),525,0.00789972614282705,~HighDiamond
2022-05-01,Azir/Irelia,628,0.00944957717656264,~HighDiamond
2022-05-02,Viego (SI/SH),1001,0.0143089942249414,~HighDiamond
2022-05-02,"Pirates (BW,NX)",3445,0.049245239865058,~HighDiamond
2022-05-02,Pantheon/Yuumi (DE/MT),2305,0.0329492824060838,~HighDiamond
2022-05-02,SunDisc,3710,0.0530333352392933,~HighDiamond
2022-05-02,Trundle/Tryndamere (FR/SI),4637,0.0662845216993539,~HighDiamond
2022-05-02,Tri-Beam (NX/PZ),3160,0.0451712505003145,~HighDiamond
2022-05-02,Taliyah/Ziggs,1855,0.0265166676196466,~HighDiamond
2022-05-02,Aphelios/Fizz (BC/MT),759,0.0108496769397907,~HighDiamond
2022-05-02,Miss Fortune/Quinn,934,0.0133512493567385,~HighDiamond
2022-05-02,Pyke/Rek'Sai,1136,0.0162387786608726,~HighDiamond
2022-05-02,Heimerdinger/Jayce (PZ/SI),835,0.0119360741037223,~HighDiamond
2022-05-02,Azir/Irelia,880,0.0125793355823661,~HighDiamond
2022-05-03,Viego (SI/SH),1242,0.0178120697567692,~HighDiamond
2022-05-03,"Pirates (BW,NX)",3334,0.0478143643873337,~HighDiamond
